surname,firstname,distance,technique,track length,time
MCEVOY,Cameron,50,Freistil,50,21.06
MCEVOY,Cameron,50,Freistil,25,20.75
MCEVOY,Cameron,100,Freistil,50,47.04
MCEVOY,Cameron,100,Freistil,25,46.19
MCEVOY,Cameron,200,Freistil,50,1:45.46
MCEVOY,Cameron,200,Freistil,25,1:40.80
MCEVOY,Cameron,400,Freistil,50,3:53.74
MCEVOY,Cameron,400,Freistil,25,3:41.24
MCEVOY,Cameron,50,Rücken,25,24.05
MCEVOY,Cameron,100,Rücken,50,54.92
MCEVOY,Cameron,100,Rücken,25,52.12
MCEVOY,Cameron,200,Rücken,50,2:05.07
MCEVOY,Cameron,200,Rücken,25,2:00.36
MCEVOY,Cameron,50,Schmetterling,50,23.07
MCEVOY,Cameron,50,Schmetterling,25,23.66
MCEVOY,Cameron,100,Schmetterling,50,53.84
MCEVOY,Cameron,100,Schmetterling,25,1:00.49
MCEVOY,Cameron,200,Schmetterling,50,2:37.02
MCEVOY,Cameron,50,Freistil,50,21.75
MCEVOY,Cameron,50,Freistil,25,20.74
MCEVOY,Cameron,100,Freistil,50,46.6
MCEVOY,Cameron,100,Freistil,25,45.78
MCEVOY,Cameron,200,Freistil,50,1:47.89
MCEVOY,Cameron,200,Freistil,25,1:43.74
MCEVOY,Cameron,50,Schmetterling,25,24.63
MCEVOY,Cameron,100,Schmetterling,25,53.02
LEDECKY,Kathleen,50,Freistil,50,25.45
LEDECKY,Kathleen,100,Freistil,50,53.75
LEDECKY,Kathleen,200,Freistil,50,1:53.73
LEDECKY,Kathleen,200,Freistil,25,1:52.10
LEDECKY,Kathleen,400,Freistil,50,3:56.46
LEDECKY,Kathleen,400,Freistil,25,3:52.88
LEDECKY,Kathleen,800,Freistil,50,8:04.79
LEDECKY,Kathleen,800,Freistil,25,7:57.42
LEDECKY,Kathleen,1500,Freistil,50,15:20.48
LEDECKY,Kathleen,1500,Freistil,25,15:08.24
LEDECKY,Kathleen,100,Rücken,50,1:04.58
LEDECKY,Kathleen,100,Schmetterling,50,1:02.01
LEDECKY,Kathleen,200,Schmetterling,50,2:13.77
LEDECKY,Kathleen,200,Schmetterling,25,2:13.08
LEDECKY,Kathleen,200,Lagen,50,2:14.36
LEDECKY,Kathleen,400,Lagen,50,4:35.77
LEDECKY,Kathleen,400,Lagen,25,4:27.18
LEDECKY,Kathleen,100,Freistil,50,52.64
LEDECKY,Kathleen,100,Freistil,25,54
LEDECKY,Kathleen,200,Freistil,50,1:53.67
MCKEOWN,Kaylee,50,Freistil,50,26.37
MCKEOWN,Kaylee,50,Freistil,25,27.95
MCKEOWN,Kaylee,100,Freistil,50,54.33
MCKEOWN,Kaylee,100,Freistil,25,1:00.05
MCKEOWN,Kaylee,200,Freistil,50,1:56.88
MCKEOWN,Kaylee,200,Freistil,25,1:55.84
MCKEOWN,Kaylee,400,Freistil,50,4:15.37
MCKEOWN,Kaylee,50,Rücken,50,26.86
MCKEOWN,Kaylee,50,Rücken,25,26
MCKEOWN,Kaylee,100,Rücken,50,57.33
MCKEOWN,Kaylee,100,Rücken,25,55.49
MCKEOWN,Kaylee,200,Rücken,50,2:03.14
MCKEOWN,Kaylee,200,Rücken,25,1:58.94
MCKEOWN,Kaylee,50,Brust,25,36.29
MCKEOWN,Kaylee,100,Brust,50,1:06.86
MCKEOWN,Kaylee,100,Brust,25,1:08.06
MCKEOWN,Kaylee,200,Brust,50,2:24.18
MCKEOWN,Kaylee,50,Schmetterling,50,28.44
MCKEOWN,Kaylee,50,Schmetterling,25,30.22
MCKEOWN,Kaylee,100,Schmetterling,50,1:01.63
MCKEOWN,Kaylee,100,Lagen,25,59.14
MCKEOWN,Kaylee,200,Lagen,50,2:07.60
MCKEOWN,Kaylee,200,Lagen,25,2:03.57
MCKEOWN,Kaylee,400,Lagen,50,4:31.74
ZHAO,Jing,50,Freistil,50,25.9
ZHAO,Jing,200,Freistil,25,2:02.86
ZHAO,Jing,50,Rücken,50,27.06
ZHAO,Jing,50,Rücken,25,25.82
ZHAO,Jing,100,Rücken,50,58.98
ZHAO,Jing,100,Rücken,25,56.18
ZHAO,Jing,200,Rücken,50,2:07.87
ZHAO,Jing,200,Rücken,25,2:07.71
ZHAO,Jing,100,Lagen,25,58.4
ZHAO,Jing,200,Lagen,50,2:16.00
ZHAO,Jing,200,Lagen,25,2:17.82
ZHAO,Jing,400,Lagen,50,4:56.41
ZHAO,Jing,100,Brust,25,1:04.72
ARMSTRONG,Hunter,50,Freistil,50,22
ARMSTRONG,Hunter,50,Freistil,25,21.45
ARMSTRONG,Hunter,100,Freistil,50,48.25
ARMSTRONG,Hunter,100,Freistil,25,47.11
ARMSTRONG,Hunter,200,Freistil,50,1:53.26
ARMSTRONG,Hunter,50,Rücken,50,23.71
ARMSTRONG,Hunter,50,Rücken,25,23.05
ARMSTRONG,Hunter,100,Rücken,50,51.98
ARMSTRONG,Hunter,100,Rücken,25,50.68
ARMSTRONG,Hunter,200,Rücken,50,2:03.60
ARMSTRONG,Hunter,50,Schmetterling,50,24.43
ARMSTRONG,Hunter,50,Freistil,25,20.94
ARMSTRONG,Hunter,100,Freistil,50,49.32
CECCON,Thomas,50,Freistil,50,22.33
